,balance,clientId,transactionDate,amount,__v,type_,Account Holder ID,Approval Date, tx_recency   
36,833298,44291,16/06/2016 07:43:00,200000,0,debit,44291,16/06/2016 18:21:44, -   
37,626798,44291,16/06/2016 07:47:00,200000,0,debit,44291,16/06/2016 18:21:44, -   
38,605198,44291,16/06/2016 13:23:00,20000,0,debit,44291,16/06/2016 18:21:44, -   
39,258846,44291,16/06/2016 13:38:04,200000,0,credit,44291,16/06/2016 18:21:44, -   
1192,40870,4826765,26/09/2016 19:46:03,1200,0,debit,4826765,08/10/2016 16:47:59, 11 
1193,238173,4826765,02/10/2016 02:14:54,770,0,credit,4826765,08/10/2016 16:47:59, 6 
1241,1001556,414900500,05/10/2016 12:35:15,1000000,0,credit,414900500,31/10/2016 12:38:22, 26 
1242,1556,414900500,05/10/2016 13:04:33,1000000,0,debit,414900500,31/10/2016 12:38:22, 25 
1243,251556,414900500,06/10/2016 12:49:41,250000,0,credit,414900500,31/10/2016 12:38:22, 24 
1244,211556,414900500,06/10/2016 14:10:04,40000,0,debit,414900500,31/10/2016 12:38:22, 24 
1245,11556,414900500,06/10/2016 14:38:28,200000,0,debit,414900500,31/10/2016 12:38:22, 24 
1246,221556,414900500,06/10/2016 18:34:11,210000,0,credit,414900500,31/10/2016 12:38:22, 24 
1247,198356,414900500,06/10/2016 21:22:12,23200.00,0,debit,414900500,31/10/2016 12:38:22, 24 
1248,248356,414900500,07/10/2016 06:19:54,50000,0,credit,414900500,31/10/2016 12:38:22, 24 
1249,1748356,414900500,07/10/2016 09:19:47,1500000,0,credit,414900500,31/10/2016 12:38:22, 24 
1250,48356,414900500,07/10/2016 09:33:40,1700000,0,debit,414900500,31/10/2016 12:38:22, 24 
1251,28356,414900500,07/10/2016 12:54:06,20000,0,debit,414900500,31/10/2016 12:38:22, 23 
1252,18356,414900500,08/10/2016 08:03:50,10000,0,debit,414900500,31/10/2016 12:38:22, 23 
1253,2003668,414900500,10/10/2016 08:39:12,2000000,0,credit,414900500,31/10/2016 12:38:22, 21 
1254,1503668,414900500,10/10/2016 13:03:54,500000,0,debit,414900500,31/10/2016 12:38:22, 20 
1255,3503668,414900500,10/10/2016 19:09:10,2000000,0,credit,414900500,31/10/2016 12:38:22, 20 
1256,3488868,414900500,10/10/2016 21:41:06,14800,0,debit,414900500,31/10/2016 12:38:22, 20 
1257,3288868,414900500,11/10/2016 07:16:51,200000,0,debit,414900500,31/10/2016 12:38:22, 20 
1258,3258868,414900500,11/10/2016 07:38:25,30000,0,debit,414900500,31/10/2016 12:38:22, 20 
1259,18258868,414900500,12/10/2016 11:41:52,15000000,0,credit,414900500,31/10/2016 12:38:22, 19 
1260,18258868,414900500,12/10/2016 11:47:04,15000000,0,credit,414900500,31/10/2016 12:38:22, 19 
1261,18257868,414900500,12/10/2016 12:36:11,1000,0,debit,414900500,31/10/2016 12:38:22, 19 
1262,18237818,414900500,12/10/2016 20:53:51,20000,0,debit,414900500,31/10/2016 12:38:22, 18 
1263,17937818,414900500,13/10/2016 08:40:34,300000,0,debit,414900500,31/10/2016 12:38:22, 18 
1264,15935818,414900500,13/10/2016 18:00:33,2000,0,debit,414900500,31/10/2016 12:38:22, 17 
1265,15937818,414900500,13/10/2016 18:01:46,2000000,0,debit,414900500,31/10/2016 12:38:22, 17 
1266,14743718,414900500,14/10/2016 07:45:08,2000,0,debit,414900500,31/10/2016 12:38:22, 17 
1267,14745718,414900500,14/10/2016 07:45:11,1190000,0,debit,414900500,31/10/2016 12:38:22, 17 
1268,14743718,414900500,14/10/2016 07:51:25,2000,0,debit,414900500,31/10/2016 12:38:22, 17 
1269,14745718,414900500,14/10/2016 07:51:33,1190000,0,debit,414900500,31/10/2016 12:38:22, 17 
